id	url	bodyText	What (is the problem?)	Where (is the problem?)	Accepted?
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MjM1OTQ3Mg==	https://codeupcrc.github.io/?key=1014	could we setBody to something else? I don't really understand what the string here means... maybe something straightforward such as "new body text"?	Wrong, missing, or inadequate string expression or literal	Literal	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0MTE0NDIyOA==	https://codeupcrc.github.io/?key=1021	Please remove the printlns. If they are needed then maybe convert them into log.trace() or debug()	Inadequate logging and monitoring	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNzY4NTg0MQ==	https://codeupcrc.github.io/?key=1029	Even though tryNext() returns an enum, can we add a default case with a fallthough comment along the lines of "this should never happen"? Or even an exception in case the enum grows over time? https://google.github.io/styleguide/javaguide.html#s4.8.4.3-switch-default	Complex, long, or inadequate logic	Conditional	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2OTYxNjQ0MQ==	https://codeupcrc.github.io/?key=1032	nit: TODO	Incomplete or inadequate code documentation	Conditional	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1MTgxNTEzMQ==	https://codeupcrc.github.io/?key=1038	nit: "Unable" and ..."the generated parser**.** "	Wrong, missing, or inadequate string expression or literal	Literal	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3NjY0OTk0NA==	https://codeupcrc.github.io/?key=1031	anc' -> 'and'	Incomplete or inadequate code documentation	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1NzUzMzkwNA==	https://codeupcrc.github.io/?key=1040	no need to use quote marks here.	Incomplete or inadequate code documentation	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2ODIzNjE3Nw==	https://codeupcrc.github.io/?key=1044	These are not used and already stored in TestDataHelper/TestConstants so please remove	Unnecessary Code	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwNzE3NDQxMQ==	https://codeupcrc.github.io/?key=1042	nit: your method seems to be returning a date range, so getDateRange might be a better name.	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1NDQyNjY1Mw==	https://codeupcrc.github.io/?key=1051	Add @Immutable as other classes. Also our repo policy is to add a Javadoc for a public class. Can be a short one.	Incomplete or inadequate code documentation	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5ODM1ODU1Mw==	https://codeupcrc.github.io/?key=1060	I am sure we have a JSON string encoder somewhere in the code base Not sure off hand but I recall we do.	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyNzA5NzQxMg==	https://codeupcrc.github.io/?key=1059	please have a look at the intellij formatter inside the root folder: we don't use * imports.	Complex, long, or inadequate logic	Import	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwODA3MjA2OA==	https://codeupcrc.github.io/?key=1066	Maybe we shouldn't call this streamsQuery?                         Suggested change                                                                                                    private Map<String, IndexSet> indexSetsForStreams(List<DBObject> streamsQuery) {                                                        final Set<String> indexSetIds = streamsQuery.stream()                                                                .map(stream -> (String)stream.get(StreamImpl.FIELD_INDEX_SET_ID))                                                                .filter(s -> !isNullOrEmpty(s))                                                                .collect(Collectors.toSet());                                                    private Map<String, IndexSet> indexSetsForStreams(List<DBObject> streams) {                                                        final Set<String> indexSetIds = streams.stream()                                                                .map(stream -> (String)stream.get(StreamImpl.FIELD_INDEX_SET_ID))                                                                .filter(s -> !isNullOrEmpty(s))                                                                .collect(Collectors.toSet());	Bad identifier	Parameter	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5Mjg1NjgyNw==	https://codeupcrc.github.io/?key=1078	braces	Inconsistent or disrupted formatting	Loop	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4MjE3MjQyOA==	https://codeupcrc.github.io/?key=1101	As the argument is optional, we should use the features of Optional and not have another "empty" case of an empty string. You can either just not specify the image name in the builder or use Optional.empty(). I think the former is most consistent with what's already here.	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwODk3Mzk5NA==	https://codeupcrc.github.io/?key=1164	maybe a comment here to explain that getInstance() loads all the static providers	Incomplete or inadequate code documentation	Call	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU5ODU0MTI5NQ==	https://codeupcrc.github.io/?key=1173	isStale is always false	Inadequate logging and monitoring	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5ODgyNjU5Mg==	https://codeupcrc.github.io/?key=1176	split it in 3 testcases?	Complex, long, or inadequate logic	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyOTk2OTI5NQ==	https://codeupcrc.github.io/?key=1201	Why Boolean and not boolean?	Complex, long, or inadequate logic	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5OTIyNzA3OQ==	https://codeupcrc.github.io/?key=1233	Why not just "ImageButton"?	Bad identifier	Class	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxNTI3MDY3NA==	https://codeupcrc.github.io/?key=1286	This whole feature is extraordinary error-prone. I'd say a warning must be added here when it is used.	Inadequate logging and monitoring	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxNzI1NTMwMA==	https://codeupcrc.github.io/?key=1298	Suggested change                                                                                                 * Copyright 202 Red Hat, Inc. and/or its affiliates.                                                 * Copyright 2020 Red Hat, Inc. and/or its affiliates.	Incomplete or inadequate code documentation	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3MTI5ODgxNg==	https://codeupcrc.github.io/?key=1308	typo                         Suggested change                                                                                                    public TaskLifeCycleEventListener createBAMTaskSumaryListener(EntityManagerFactory emf) {                                                    public TaskLifeCycleEventListener createBAMTaskSummaryListener(EntityManagerFactory emf) {	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3NzMyNzc4MA==	https://codeupcrc.github.io/?key=1314	typo                         Suggested change                                                                                                                    List<? extends Reassignment> ressignments = escalation.getReassignments();                                                                    List<? extends Reassignment> reassignments = escalation.getReassignments();	Bad identifier	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxNjUyOTIxOA==	https://codeupcrc.github.io/?key=1315	Perhaps we may use Apache Commons Lang abbreviate method, adding 3 dots at the end, to indicate that it's trimmed. Notice that this method would throw IllegalArgumentException if length is equal or less than 3 (should not be a common length to use). What do you think?                         Suggested change                                                                                                        String trimmedErrorMessage = errorMessage;                                                        if (trimmedErrorMessage != null && trimmedErrorMessage.length() > ERROR_LOG_LENGTH) {                                                            trimmedErrorMessage = trimmedErrorMessage.substring(0, ERROR_LOG_LENGTH);                                                        }                                                        super.setErrorMessage(trimmedErrorMessage);                                                        super.setErrorMessage(StringUtils.abbreviate(errorMessage, ERROR_LOG_LENGTH));	Complex, long, or inadequate logic	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU0MjQ3MTkzMQ==	https://codeupcrc.github.io/?key=1328	Suggested change                                                                                                    void testPrequalificationDMNExplanation1() throws ExecutionException, InterruptedException, TimeoutException {                                                    void testPrequalificationDMNExplanation() throws ExecutionException, InterruptedException, TimeoutException {	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDU2MjE4MzMzNg==	https://codeupcrc.github.io/?key=1337	I think you can use existing generatedAnnotation field	Complex, long, or inadequate logic	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4ODc0NzM2MQ==	https://codeupcrc.github.io/?key=1338	As far as I can see this concept only exists in Spring and not in CDI (even if quarkus impl should be lazy by default). Why do you need it? Minor note, can you add a javadoc?	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxMzM4MjM5Mw==	https://codeupcrc.github.io/?key=1336	What do you mean with demo?	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ3MzY5NTgzNw==	https://codeupcrc.github.io/?key=1345	Maybe an explanation here would be nice?	Wrong, missing, or inadequate string expression or literal	Try-Catch	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MjgyMjIyMA==	https://codeupcrc.github.io/?key=1349	Suggested change                                                                                                    private boolean allChildsExported(Process process) {                                                        if (process.getChildren().isEmpty()) {                                                            boolean allChildsExported = true;                                                            for (Process child : process.getChildren()) {                                                                allChildsExported &= child.isExported();                                                            }                                                            return allChildsExported;                                                    private boolean allChildrenExported(Process process) {                                                        if (process.getChildren().isEmpty()) {                                                            boolean allChildrenExported = true;                                                            for (Process child : process.getChildren()) {                                                                allChildrenExported &= child.isExported();                                                            }                                                            return allChildrenExported;                                 It should be "children" instead of "childs".	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxMDA2OTUyNA==	https://codeupcrc.github.io/?key=1370	you could flip this comparison, as that makes it way easier to read	Complex, long, or inadequate logic	Conditional	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyMzQ5Mjc4Nw==	https://codeupcrc.github.io/?key=1380	HTTP methods - {@link #GET}, {@link #HEAD}, {@link #PUT} and {@link #DELETE}. ?	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5NDY4MTA1OQ==	https://codeupcrc.github.io/?key=1385	complete the java doc	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxOTY3OTIyMg==	https://codeupcrc.github.io/?key=1401	Nit: detectMetricAnomalies -> detectedMetricAnomalies?	Bad identifier	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM5MjUzNjgyNA==	https://codeupcrc.github.io/?key=1402	Nit: Can we use singular names in config -- i.e. SLOW_BROKERS_XXX -> SLOW_BROKER_XXX?	Bad identifier	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4Njg2ODg2MA==	https://codeupcrc.github.io/?key=1411	This and the previous method seem identical except for the input/output directories. Can we de-duplicate the logic?	Unnecessary Code	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5NDQ0MTY1Mw==	https://codeupcrc.github.io/?key=1413	Maybe you can refactor this logic into a different method, it makes this method quite large and I guess it might be useful elsewhere.	Complex, long, or inadequate logic	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNjM0MTE2OA==	https://codeupcrc.github.io/?key=1418	Suggested change                                                                                                    @Column(name = "END_TEXT")                                                    @Column(name = "end_text")	Wrong, missing, or inadequate string expression or literal	Literal	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNjM0NzQ5Mw==	https://codeupcrc.github.io/?key=1419	Can we rename this to numberOfExercisesInExam	Bad identifier	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NTMwMjQ3MA==	https://codeupcrc.github.io/?key=1446	A little too many parens here.	Inconsistent or disrupted formatting	Operation	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwNzIxNDg0Mg==	https://codeupcrc.github.io/?key=1443	Suggested change	Inconsistent or disrupted formatting	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUzNjkwOTcyMQ==	https://codeupcrc.github.io/?key=1442	Suggested change                                                                                                        }                                                        if (getProductionDate() > 0) {                                                        } else if (getProductionDate() > 0) {	Complex, long, or inadequate logic	Conditional	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwMDU2MDg3Ng==	https://codeupcrc.github.io/?key=1453	Suggested change                                                                                                                .filter(u -> u.requiresMaintenance() && null != u.getTech())                                                                .filter(u -> u.requiresMaintenance() && (null != u.getTech()))	Inconsistent or disrupted formatting	Operation	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4Mjc0Mjg4NQ==	https://codeupcrc.github.io/?key=1463	Add javadoc description	Incomplete or inadequate code documentation	Annotation	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMDU3NjE4Mg==	https://codeupcrc.github.io/?key=1476	This is not necessarily AKV user principal ID. Please align the docs with ODBC connection property documentation.	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2MTc1OTE2Mw==	https://codeupcrc.github.io/?key=1487	Bracket should be on the next line	Inconsistent or disrupted formatting	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUxNjAxNDY2OA==	https://codeupcrc.github.io/?key=1484	Just asking, wouldn't this be better as a static constant, instead of a local constant?	Missing constant usage	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyMjU0MDU5Ng==	https://codeupcrc.github.io/?key=1497	Suggested change                                                                                                    public static final Name CORE_GAMEPLAY_MODULE = new Name("coresamplegameplay");                                                    public static final Name CORE_GAMEPLAY_MODULE = new Name("buildersamplegameplay");	Wrong, missing, or inadequate string expression or literal	Literal	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwNDgwNjE4OA==	https://codeupcrc.github.io/?key=1517	we can compute  started + timeoutSeconds * 1000 here (in both methods)	Complex, long, or inadequate logic	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1MTY4OTc1Mg==	https://codeupcrc.github.io/?key=1690	Suggested change                                                                                                            String text = ((String)value).trim();                                                            String text = ((String)value).trim().toLower();                                                            if ("true".equals(text)) {	Complex, long, or inadequate logic	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1MDYxOTM0MA==	https://codeupcrc.github.io/?key=1694	nit: add new line.	Inconsistent or disrupted formatting	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0MTQ5NTU0OA==	https://codeupcrc.github.io/?key=1720	Add a short javadoc to this method including that it configure a Sandbox feature.	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMzc5OTkzOQ==	https://codeupcrc.github.io/?key=1724	Think you may have intended to have the below comment here too, or only here since it's the first occurrence	Incomplete or inadequate code documentation	Conditional	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMTc1NDM3NA==	https://codeupcrc.github.io/?key=1732	Can you make the link <a href ...	Incomplete or inadequate code documentation	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxMjEwMDY2OA==	https://codeupcrc.github.io/?key=1737	It could may be possible to use peek method to putt all the actions perform upon the userData to update into one place and then collect it in a list in order to save it ? it would be more compact and more functional.	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1OTk4NTYwMw==	https://codeupcrc.github.io/?key=1741	Is this necessary given that super.getDependencies does the same?	Unnecessary Code	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3NDA1ODgzMg==	https://codeupcrc.github.io/?key=1751	This looks like a candidate for finest, not fine. Also when constructing a message in log levels lower than info, please use lambda: LOGGER.finest(() -> "..."  + msg); to avoid string concatenation on every single byte buffer received	Inadequate logging and monitoring	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5MDI0MzE0Mg==	https://codeupcrc.github.io/?key=1753	I know it was like this but since you are touching it, could you please rename to timeStr to follow Java standard?	Bad identifier	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5MDM2NzQyOA==	https://codeupcrc.github.io/?key=1754	I missed the whitespaces :(                         Suggested change                                                                                                        LdapUser ldapUser = (LdapUser) req.getSession().                getAttribute(LdapUserPlugin.getSessionAttrName(ldapUserInstance));                                                        LdapUser ldapUser = (LdapUser) req.getSession().getAttribute(LdapUserPlugin.getSessionAttrName(ldapUserInstance));	Inconsistent or disrupted formatting	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4ODkyNzAxOA==	https://codeupcrc.github.io/?key=1759	Should this test be named ..._jobNotCreated rather than ..._reportValidationError?	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0NTQ5MTk4Mg==	https://codeupcrc.github.io/?key=1762	So this is the name of an environment variable whose value is a comma-separated list of environment variable names? That's far from obvious. At the very least, please include a Javadoc comment explaining that.	Incomplete or inadequate code documentation	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1MDgyMTc3NA==	https://codeupcrc.github.io/?key=1772	remove the Db and name attributes from the annotation	Bad identifier	Class	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyODY2NjcxOA==	https://codeupcrc.github.io/?key=1770	The value of AES_SECRET is not used. It looks like it should be removed.	Unnecessary Code	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2Mzg0ODgzNw==	https://codeupcrc.github.io/?key=1803	I think we may want to provide a different message if new duplicates appear vs when problems are fixed, or mention here that it's dangerous to have duplicate classes on the classpath and explain why it's worth spending time to fix. Otherwise I think folks will see "run X to update locks" and they'll ./X.	Wrong, missing, or inadequate string expression or literal	Literal	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0Njc0Mjc0Nw==	https://codeupcrc.github.io/?key=1815	Suggested change                                                                                                  // TODO: Some vanilla registry types are not patched yet, add this check to avoid crash                                                  // TODO: Some vanilla registry types are not patched yet, this check is added to avoid a crash	Incomplete or inadequate code documentation	Conditional	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3MzMxMzM0MA==	https://codeupcrc.github.io/?key=1817	No separation between doc comments and the class.                         Suggested change	Inconsistent or disrupted formatting	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3MzMxMzQ1MA==	https://codeupcrc.github.io/?key=1818	Same for the other lines                         Suggested change                                                                                                  * <p>This event is not Cancelable.</p>                                                  * <p>This event is not cancellable.</p>	Incomplete or inadequate code documentation	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2NzkxNzU5Nw==	https://codeupcrc.github.io/?key=1829	Minor point: this comment seems to be floating in space a bit	Incomplete or inadequate code documentation	Conditional	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwNTcxNjEzMA==	https://codeupcrc.github.io/?key=1838	This descriptor is unused, right?	Unnecessary Code	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwNTcyMjU3Nw==	https://codeupcrc.github.io/?key=1839	Please return an unmodifiable List here (or even an Iterable<Issue>). We rarely use arrays in the codebase. You can write Collections.unmodifiableList(Arrays.asList(...))	Complex, long, or inadequate logic	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUyNjg1MTIxMg==	https://codeupcrc.github.io/?key=1846	Would be more pretty to wrtie PsseVersion.isSupported(rev) or maybe a PsseVersion.checkVersion(rev) method	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwNzQ5NTAwMg==	https://codeupcrc.github.io/?key=1866	inline throws	Inconsistent or disrupted formatting	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUzNDE0NDYzMg==	https://codeupcrc.github.io/?key=1860	Method is not on his method call ordering position	Inconsistent or disrupted formatting	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5MTEzODQ4NA==	https://codeupcrc.github.io/?key=1872	why can we short circuit for non-structs?  is it because there will never be any subfields?  I think the shortcircuiting is more confusing.	Complex, long, or inadequate logic	Conditional	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ0MTQ3NzA2NQ==	https://codeupcrc.github.io/?key=1878	I think a better way to write this method is:         protected void addResponseCookie(ExternalContext externalContext) {             final boolean secure = ((HttpServletRequest) externalContext.getRequest()).isSecure();             Map<String, Object> map;             if (secure) {                 map = new HashMap<>(2);                 map.put("secure", secure);                 map.put("sameSite", "Strict");             }             else {                 map = Collections.emptyMap();             }             externalContext.addResponseCookie(Constants.DOWNLOAD_COOKIE, "true", map);         } I also future proofed it by adding sameSite=Strict even though JSF and Servlet spec does not support it yet it hopefully will in the future as this is becoming a requirement of most browsers.	Complex, long, or inadequate logic	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1ODMyMDY1OA==	https://codeupcrc.github.io/?key=1894	This javadoc will be the title of the section so maybe just "User interface" or "UI configuration" would be better.	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5ODkxMjk1Nw==	https://codeupcrc.github.io/?key=1923	we need either to make it consistent with the above constructor or open a separate PR to swap the parameters of the above constructor, wdyt? (the later would be breaking between RC1 and RC2, but probably a more meaningful order)	Complex, long, or inadequate logic	Method	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyMDgwNjcxNw==	https://codeupcrc.github.io/?key=1930	Should probably be getDefaultCodecRegistry	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwMjY2OTI3Mw==	https://codeupcrc.github.io/?key=1934	Suggested change                                                                                                     * @param callback callback used when the the keys were fetched or the call failed. The callback                                                     * @param callback callback used when the keys were fetched or the call failed. The callback	Incomplete or inadequate code documentation	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQzNDU4NzQ3OQ==	https://codeupcrc.github.io/?key=1936	instead of this conditional you coul use the traversal api. It would yield cleaner, more concise code.	Complex, long, or inadequate logic	Operation	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2NjQzODUwNQ==	https://codeupcrc.github.io/?key=1935	please rename module_uuid to assembly_uuid	Bad identifier	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1NDE3OTY4Ng==	https://codeupcrc.github.io/?key=1945	Let's rename it to DEFAULT_TIMESTAMP_FUNCTION	Bad identifier	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ2OTc1NzcxOA==	https://codeupcrc.github.io/?key=1944	Please use AssertJ	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4NDUzMTYzOA==	https://codeupcrc.github.io/?key=1943	remove qualified name	Unnecessary Code	Class	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5Mjk4NDI4OQ==	https://codeupcrc.github.io/?key=1942	just cosmetic/convention changes (empty lines): FallbackMethod fallbackMethod = FallbackMethod             .create("fallbackMethod", testMethod, new Object[]{"test", "test"}, target);  String fallback = fallbackMethod.fallback(new IllegalStateException("err");   assertThat(fallback)).isEqualTo("recovered-IllegalStateException");	Inconsistent or disrupted formatting	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQxNDUzOTIxMA==	https://codeupcrc.github.io/?key=1957	update.getUpdatedObject().getValuesForAttribute(AttributeType.MNT_BY); is a bit cleaner?	Complex, long, or inadequate logic	Call	Not Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ4NTgzNTI5Ng==	https://codeupcrc.github.io/?key=1963	Suggested change                                                                                                        byte[] opReturnOutput = BtcTransactionFormatUtils.extractOpReturnData(btcTx);                                                        byte[] opReturnOutputData = BtcTransactionFormatUtils.extractOpReturnData(btcTx);	Bad identifier	Variable	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQyNDYwODY0Nw==	https://codeupcrc.github.io/?key=1971	Reduce this whole method to:  public Command revertUnsavedChangesBeforeExitCommand(final Command onCompleted)    {       return () -> handleUnsavedChangesBeforeExit(new ArrayList<>(), onCompleted);    }	Complex, long, or inadequate logic	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1ODkxNjAzNA==	https://codeupcrc.github.io/?key=1970	IMHO, a more idiomatic way of specifying this is JavaScript would be this.activeColumn || "".	Incomplete or inadequate code documentation	Conditional	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM3MzAzNjQzNg==	https://codeupcrc.github.io/?key=1985	Remove this newline	Inconsistent or disrupted formatting	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQwNjM1OTE1MQ==	https://codeupcrc.github.io/?key=1984	You could probably just make this reverse() + limit + forEach(buildBox)	Complex, long, or inadequate logic	Call	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDM2NzY1MDIwNA==	https://codeupcrc.github.io/?key=1991	maxListSize	Bad identifier	Method	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDUwNjEyMTMxMg==	https://codeupcrc.github.io/?key=1994	Revert this change please.	Inconsistent or disrupted formatting	Conditional	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ1MzMzMzI0MQ==	https://codeupcrc.github.io/?key=2008	Specifies beans that won't be scanned in the GlobalTransactionScanner	Incomplete or inadequate code documentation	Attribute	Accepted
MDI0OlB1bGxSZXF1ZXN0UmV2aWV3Q29tbWVudDQ5OTY5MjIzNQ==	https://codeupcrc.github.io/?key=2021	We usually don't include annotations like this. It should be okay for the warning to be there.	Incomplete or inadequate code documentation	Variable	Accepted
